id,title,brand,part_type,location,quantity,cost,notes,photo
200,Fan 75mm nevermore flex,,Fans,Bin 2,4,0.00,,t485Fbdck1gZXaIvMi2OSq.Photo.202641.jpg
48,Fan control 12v pwm,,Electronics,Bin 2,4,0.00,Nevermore flex,tvyUzBB8HFzCLUez6y6ooO.Photo.000829.jpg
201,Fan for stealthmax s,Generic,Fans,Fans,2,0.00,,XQrMK2USbqRo7Bla0Q4RxR.Photo.032137.jpg
49,Fan splitter pcbs,,Electronics,Bin 1,50,0.00,,21Mnyp3EvnxbF5bLvIXmFZ.Photo.234706.jpg
202,Fan stealthmax,,Fans,Bin 1,2,0.00,,LoSGxzc6XOnU9qjkXQbOY5.Photo.230950.jpg
228,Filamentalist kit,Seleadlab,Hardware,Bin 2,1,0.00,8 buffer kit,oSyiwmn3FEJeMKz3iRkKn7.Photo.193519.jpg
50,Filament Sensor,Triangle Labs,Electronics,Bin 1,2,0.00,,yAEbUk6eWjSc1vY20t5HOP.Photo.224758.jpg
51,Filament Sensor orbitor 2,Triangle Labs,Electronics,Bin 1,1,0.00,,RHybgcGH9TK1J25wQd5V7i.Photo.232149.jpg
268,Filter Nevermore flex,,Misc,Carbon Filter box,12,0.00,,Sb82ZrevUlETuxqLGFHTGQ.Photo.001326.jpg
269,Filters stealthmax,Nevermore,Misc,Bin 2,20,0.00,,kKwpolpAt3rIZ5I5PRz6Uo.Photo.225108.jpg
274,Foam tape 10m x 20mm x 1mm,,Misc,Bin 4,1,0.00,Quattro box,Bwhlmivjdxdxp7hBbUGEFX.Photo.223040.jpg
270,Foam tape 2x5m 5meters,,Misc,Bin 3,1,0.00,,dX9m3tR39WODVJOQ7hcn1P.Photo.205346.jpg
271,Foam tape 5x1mm,,Misc,Bin 3,1,0.00,,RcobkR1gqNFs7dzwP4ZE8J.Photo.194850.jpg
272,Foam tape 6x3mm,,Misc,Bin 3,1,0.00,,GfMloLs12bZpdRmJsQWPqu.Photo.194613.jpg
273,Foam tape 8x1mm,,Misc,Bin 3,1,0.00,,gwKodusfDFoxd8YQmCthDV.Photo.195043.jpg
